,train_aux_ce,train_ce,train_kl,valid_aux_ce,valid_ce,valid_kl
0,1.3897879282633463,1.3931522369384766,3.0224717920646072e-05,1.3892748514811197,1.3541553497314454,2.4885641566167274e-05
1,1.2423001607259114,0.013753353555997213,4.279548302292824e-05,1.239316177368164,0.01674375335375468,4.7332238561163344e-05
2,0.16718641916910806,0.00939251184463501,0.00036260221774379414,0.16881667772928874,0.010852634906768799,0.0003430939900378386
3,0.11188680330912272,0.011663587888081868,0.0003558659615616004,0.1102778434753418,0.009793360034624736,0.0003488252870738506
4,0.09078114032745362,0.013920005162556965,0.00037088422104716303,0.0891139030456543,0.01153941849867503,0.0003278496054311593
5,0.07908500035603841,0.009863374630610149,0.0003390295741458734,0.07803636391957601,0.00887457827727,0.0003036695842941602
6,0.07489208380381267,0.011317764719327291,0.00035133318354686104,0.07454391320546468,0.011127283175786337,0.00029789240409930546
7,0.07100096543629965,0.012072835365931194,0.00033273811762531597,0.06941834290822348,0.010199373960494995,0.00026752393071850143
8,0.0661301573117574,0.01167217989762624,0.0004393580680092176,0.06627797285715739,0.01010804573694865,0.000432415430744489
9,0.06124104261398315,0.011456767717997232,0.00048060848688085875,0.060672295093536374,0.010807936390240988,0.0004339374912281831
10,0.053968505064646406,0.008718623717625936,0.0005037655433019002,0.05832403500874837,0.013058814406394958,0.0005490400517980258
11,0.05133088827133179,0.010364866256713868,0.00042706088473399483,0.05035032828648885,0.00921715001265208,0.0004424314945936203
12,0.04799920717875163,0.010240947206815084,0.0005359793081879616,0.04675754308700562,0.009155874451001486,0.00038301463549335796
13,0.044435342152913414,0.008569008111953736,0.00047862445935606954,0.048734243710835776,0.013024315237998962,0.0003389492630958557
14,0.044559423128763834,0.010917407274246217,0.00046764121701320014,0.04368974765141805,0.009765560428301493,0.0002913640812039375
15,0.044080495834350586,0.011341941356658936,0.00043674459060033164,0.044455703099568686,0.01136073370774587,0.0003891937745114168
16,0.04164424737294515,0.009737628698348998,0.00042881593108177183,0.043459876378377275,0.011354391773541769,0.0004008901926378409
17,0.04259517192840576,0.011238741874694824,0.0004040688586731752,0.03910678227742513,0.008135787645975749,0.0004010675164560477
18,0.03977106809616089,0.009196976820627848,0.0003548455735047658,0.04170096715291341,0.011047840118408203,0.0003895226555565993
19,0.0399338960647583,0.00987895429134369,0.00037581231445074084,0.042113069693247476,0.012162103255589803,0.00034771980717778205
20,0.04003624121348063,0.010649784406026205,0.0003476713163157304,0.03699287970860799,0.008075116078058879,0.0002878829836845398
21,0.04136397441228231,0.012792678674062093,0.00034953349580367407,0.04055936336517334,0.01196714440981547,0.0003343006285528342
22,0.03986620505650838,0.010761036475499471,0.0002892315077284972,0.03802438974380493,0.009682876865069072,0.00030278796330094335
23,0.04052571455637614,0.013141217827796935,0.00034372232233484585,0.037008078893025716,0.009838464856147765,0.0003138255017499129
24,0.03764142990112305,0.010723882913589477,0.0003588468457261721,0.03696239391962687,0.010503859321276347,0.0003227770638962587
25,0.0349298357963562,0.008848845958709717,0.0003445334732532501,0.03696305751800537,0.01101608673731486,0.0003231484753390153
26,0.03538070519765218,0.00990542471408844,0.00032038465142250063,0.03772710959116618,0.012409524122873942,0.00034750159829854965
27,0.03610023657480876,0.011479047934214275,0.00028751250356435777,0.03452362219492595,0.01046452224254608,0.000309494324028492
28,0.03267612854639689,0.008646663029988606,0.0002799428378542264,0.033990248044331865,0.01010367770989736,0.0002834571835895379
29,0.0344282070795695,0.010781686504681904,0.0002955957315862179,0.032051100333531694,0.009060528874397279,0.00026424964889883997
30,0.0339784582455953,0.011556766430536906,0.0002885568266113599,0.03293099800745646,0.010467005769411723,0.000246123985076944
31,0.031596052646636966,0.010389175017674763,0.00027360205228130023,0.03178347746531169,0.010204545656840007,0.00025524051549534005
32,0.030391335487365723,0.009301440914471944,0.000255178427323699,0.03176798224449158,0.010726655522982279,0.0002412055463840564
33,0.0294219970703125,0.008954793214797974,0.00024324646219611167,0.028168702125549318,0.008324617147445678,0.00023310962133109568
34,0.03226937055587768,0.012407208482424418,0.00028371506681044897,0.029069666067759195,0.010036547978719076,0.00023244273227949938
35,0.028162686030069987,0.009612390398979187,0.0002452681927631299,0.027300665775934856,0.009441199898719787,0.0001912260272850593
