,train_aux_ce,train_ce,train_kl,valid_aux_ce,valid_ce,valid_kl
0,0.8703482945760092,0.8936261494954427,0.00016616305025915306,0.8700693130493165,0.8739802042643229,0.0001700602937489748
1,0.7557463963826497,0.6111967086791992,0.00016587205852071444,0.7525292078653971,0.6236316680908203,0.00017900868939856688
2,0.6453164418538412,0.5728919347127278,0.00022507648294170697,0.6542182922363281,0.5792340596516927,0.00024282489903271198
3,0.6303701400756836,0.5749021530151367,0.00029262537136673925,0.6320718129475912,0.5704785029093424,0.0002978054496149222
4,0.6357294718424479,0.560318120320638,0.00035577180484930673,0.6280831019083659,0.5702262242635091,0.00035488931462168694
5,0.6258850733439127,0.5654090881347656,0.00036417534574866294,0.6238471984863281,0.5707033157348633,0.00038582182799776394
6,0.6285912831624348,0.5646268208821614,0.0003793742507696152,0.6223082224527995,0.5681549072265625,0.0003667765917877356
7,0.6243430455525716,0.557771873474121,0.00040174427752693497,0.6207005818684895,0.5719298680623373,0.0003851641279955705
8,0.6207678476969402,0.5608031590779622,0.0003865521711607774,0.6203631083170573,0.5620967864990234,0.0003930064228673776
9,0.6166180928548177,0.5642151514689128,0.00039968409885962803,0.6170231501261393,0.5656641006469727,0.0003945355303585529
10,0.6198268890380859,0.5555042266845703,0.00040155304595828055,0.6137046178181966,0.5635345458984375,0.0004047919064760208
11,0.6136879603068034,0.5603200276692708,0.00041118922332922616,0.61295591990153,0.5593650817871094,0.0004182754705349604
12,0.6123890558878581,0.5510232289632161,0.0004441807356973489,0.6125338872273763,0.5582583745320638,0.00044657345861196516
13,0.6125693003336589,0.5539575576782226,0.00046575025965770085,0.6130100886027018,0.5573687235514323,0.00046324292197823523
14,0.6101432164510091,0.5477017720540365,0.0004751679487526417,0.6102248509724935,0.5510286966959635,0.00048379764581720034
15,0.6046937306722006,0.5244062105814616,0.0005341368416945139,0.6061925252278646,0.5339860916137695,0.0005237061530351638
16,0.6068929036458334,0.5140470822652181,0.000583488866686821,0.6068318049112956,0.5299401919047038,0.0005839758863051733
17,0.6032140731811524,0.4890000661214193,0.000628691849609216,0.6034752527872721,0.49264539082845055,0.000627910407880942
18,0.5994162241617839,0.42357076009114586,0.0007149635503689449,0.6033197402954101,0.4696829795837402,0.0007314966370662053
19,0.6032135645548503,0.3952480951944987,0.0007789956405758857,0.6036389032999675,0.46468884150187173,0.0007871917759378751
20,0.6007470448811849,0.3819515546162923,0.0008980446805556615,0.6018742879231771,0.4332953135172526,0.0008821094408631325
21,0.6024152119954427,0.3172904014587402,0.0009025468180576961,0.6012664794921875,0.3895575205485026,0.0008863477657238642
22,0.5995667775472006,0.2914258003234863,0.0008889105170965195,0.6053904215494792,0.3784314155578613,0.000880744494497776
23,0.5981531778971354,0.2525211175282796,0.0008642824366688728,0.5999882380167644,0.33432175318400065,0.0008789684002598126
24,0.596941884358724,0.24779629707336426,0.0008481356625755627,0.6020002365112305,0.33629528681437176,0.0008338175714015961
25,0.5995731353759766,0.21764755249023438,0.0008340394745270411,0.5983294169108073,0.3231709798177083,0.0008178646365801493
26,0.5963622411092122,0.23258830706278483,0.0008546619986494383,0.5965068817138672,0.2970433553059896,0.0008193061997493108
27,0.6339337031046549,0.6251495997111003,0.0011080699662367503,0.6302019755045573,0.6307016372680664,0.0011995941400527953
28,0.6037058512369792,0.5601406097412109,0.0012041633327802023,0.6061635335286458,0.5680306752522787,0.0013268757611513138
29,0.6024815877278645,0.5607138315836588,0.0011692120383183162,0.6050197601318359,0.5689470926920573,0.001133426527182261
30,0.6027539571126302,0.5636319478352865,0.0012371638168891272,0.601373036702474,0.565441385904948,0.0011590672036012014
31,0.5986586252848307,0.5606021245320638,0.0010240986943244935,0.6056196212768554,0.5691748301188151,0.0011267525454362233
32,0.5982898712158203,0.5527538299560547,0.0010817012439171473,0.6033397674560547,0.5658597310384115,0.0009561516965428988
33,0.598543357849121,0.5603241602579753,0.0010048385088642438,0.602009137471517,0.5630912144978841,0.0010008088002602259
34,0.5963301340738932,0.5517964045206706,0.0011384643614292145,0.6004159291585286,0.5600165685017904,0.0009919587522745133
35,0.5946580251057942,0.5544532775878906,0.0009939484298229218,0.6029084523518881,0.5619975407918294,0.0009385031337539355
36,0.5981774012247721,0.5569960912068684,0.0010128968084851901,0.5998378117879232,0.557817014058431,0.0009586034342646599
37,0.6000529607137044,0.556112543741862,0.0010224575797716776,0.6019796371459961,0.5561195373535156,0.0009256866450111071
38,0.6002117156982422,0.5518379847208659,0.0009740264465411504,0.5998675028483073,0.5564201354980469,0.0008951937158902486
39,0.6000804265340169,0.5539267222086589,0.00094339270144701,0.5997456868489583,0.5477732340494792,0.0008854034667213757
40,0.5995717366536458,0.550229008992513,0.0009158918013175329,0.6008150736490886,0.5527519226074219,0.0008552785962820053
41,0.5976938883463542,0.5505158106486002,0.0009487003087997436,0.6017397562662761,0.547046407063802,0.0009231797109047571
42,0.5913490931193034,0.5360705057779948,0.0009707104414701462,0.5982748667399088,0.5410085678100586,0.0009004810824990272
43,0.6020853678385417,0.533493169148763,0.0009029978886246681,0.6002199172973632,0.5469671885172526,0.0009193054710825284
44,0.5876664479573568,0.5127350489298502,0.0009721042588353157,0.5959934870402018,0.5221070607503255,0.0009913031632701557
45,0.5900585174560546,0.509443442026774,0.001052988941470782,0.597661844889323,0.5294704755147298,0.0010136868183811506
46,0.5924354553222656,0.5102537790934245,0.0010680625836054483,0.6002339680989583,0.5074925104777018,0.000925932265818119
47,0.595269775390625,0.4874177614847819,0.0010047281160950662,0.5988926569620768,0.4996257146199544,0.0009473895654082299
